Username,Isi komentar,Jumlah like komentar,Waktu komentar
@purwantopur6411,Beruntung om Dedy sudah mualaf sudah ga pro barat sudah tercerahkan dengan ilmu pengetahuan Islam yg benar,3,3 minggu yang lalu
@restupratiwi3107,"Bener2 yaa iblis dendam nya sama manusia 😢 dia bener2 menepati sumpahnya untuk menyesatkan semua umat nabi Adam ,,ya Allah ya rob lindungi kami semua ya allah",248,1 bulan yang lalu
@lifon_official,"Bener ya kata ulama ulama jangan percaya atau jadikan orang sebagai patokan atau idola selain nabi Muhammad Cuman dia manusia yang paling benar paling sukses tidak ada setetes pun dosa nyentuh dia, harusnya kita berpatok pada nabi Muhammad","2,1 rb",1 bulan yang lalu
@eloraalkhansa5246,"Otaku baru menerima kenapa Allah ciptakan neraka,, karena ada manusia semacam ini",858,1 bulan yang lalu
@sensei09090904,Gw berpesan KPD seluruh masyarakat Indonesia mari kita membangun ketahanan pangan mulai dari skrg!,5,3 minggu yang lalu
@Ajuzah,"Mereka buat rencana,Allah buat rencana dan Allah-lah sebaik2 perencana.","1,2 rb",1 bulan yang lalu
@AshShiddiqAcademy,Membuat Kain Ka'bah menjadi karpet tidak membuat keagungan Islam luntur.  😊,"1,1 rb",1 bulan yang lalu
@Askana_768,Makin yakin kenapa kita disunahkan untuk selalu membaca do'a perlindungan dari fitnah dajjal,492,1 bulan yang lalu
@Nour.0321,"Dunia adalah penjara bagi orang-orang mukmin dan surga bagi orang-orang kafir.. gpp dunia ini singkat, mereka hidup hanya 50-70 tahun dan melakukan semua kegilaan ini, mereka ingin melakukan semua kebebasan yang mereka bisa meskipun perbuatan mereka bahkan lebih hina dan tidak ada yang dapat menyamai mereka saking hinanya perbuatan mereka, ini dunia dan hanya sebentar dan diakhirat nanti mereka hanya akan memperoleh neraka yang kekal abadi.. neraka ada untuk orang-orang yang tidak mendapatkan balasan sempurna seperti mereka.",12,1 bulan yang lalu
@recehgaming8246,Buat muslim gk usah khawatir. Karena yg namanya kejahatan pasti akan hancur dgn kebaikan. Dari sejarah kita bisa lihat banyak Penguasa-penguasa jahat pada akhirnya mengalami akhir yang tragis. Kita tunggu saja sambil selalu berdoa kpd Allah SWT.,168,1 bulan yang lalu
@nannoredland6962,"Ortunya, Gurunya, RTnya, kadesnya,bupati, gubernurnya kemana? Mereka manusia kan???  Ini orang2 pada hirup oksigen gak sih..",9,1 bulan yang lalu
@al-manasi,Masalah ekonomi keluarga yang tidak mampu kalau tidak di data ya pasti pihak pemerintah tidak tahu. Pemerintah setempatlah yang harus mengatasi yang tahu kondisi warganya. Tidak bisa di jadikan masalah Nasional. Tapi masalah daerah dan pemerintah daerahnya.,42,1 bulan yang lalu
@TiaraRegitaAnggraini," @al-manasi betulll, karena kl kita langsung mendalami kebawah ada dana2 bantuan pemerintah terlebih kemensos yg banyak tersalurkan diseluruh indo. tpii kl ada yg gadapet berrti pemerinta setepat tidk sepeduli itu",14,1 bulan yang lalu
@tasditasdi8403,"​ @al-manasi tdk mungkin pemerintah tdk tau bro, lalu dpt dr mana utk BLT selama ini, * Sampe kapan pun tdk akan bs mengatasi masalah ekonomi jika tdk ada kemauan yg kuat dan tegas dr pejabat pusat masih mementingkan golongan, partai, kelompok, dll..  Pancasila dan UUD 45 cuma utk selogan dan promosi pemilu doang, dan rakyat nya mau pula di boongin berkali2..🤭",10,1 bulan yang lalu
@reyhan9200,​ @al-manasi Cerdas... 👍👍👍👍,2,1 bulan yang lalu
@muhmad-o9q,Ya kan itu ada keluarga tetangga Rt Rw lurah camat bupati... kamu pun bisa bantu...,67,1 bulan yang lalu
@eko23071990,"​ @muhmad-o9q  buat apa ada mbg kan ada tetangga , rt, rw ,, kamu pun bisa.. Kenapa harus di buat program?",14,1 bulan yang lalu
@echyn8203,Anda paham ngga sihhh yg di omong diatas ....,4,1 bulan yang lalu
@ernakatrina3682,​ @muhmad-o9q  klo mmg bisa merhatiin lalu knp bundir krn prihal itu😢,1,1 bulan yang lalu
@Raynita1106,Dana BOS kemana ya ?,6,1 bulan yang lalu
@KhawuloDeso,Sebenarnya bukan karena pena dan buku tulis tp karena ekonomi keluarga dan ditelantarkan kedua orangtua ditinggal ayahnya bisa dibilang anak yatim dan lagi dari kesaksian warga sekitar anak itu sepulang sekolah sering kelaparan,154,1 bulan yang lalu
@aviwidiastuti4412,​ @KhawuloDeso bisa jadi...ketika menolak...ibu nya berkata sesuatu yang mendorong anak nya untuk melakukan hal demikian?,9,1 bulan yang lalu
@ravemongaming_reborn, @KhawuloDeso  warga sekitar tau kelaparan ga ngasih makan kah,38,1 bulan yang lalu
@fandifandi8839,​ @KhawuloDeso katanya pihak skolah menagih uang skolah sebanyak 1.2 juta pertahun dan org tua anak ini Bru menyanggupi 500 rbu.. JD anak ini KRNA sering di tagih mngkin juga malu dan takut,2,1 bulan yang lalu
@azetzy9644,lah orng tua nya kmn? rt/rw? lurah/kades? kmn?,63,1 bulan yang lalu
@matahari1234-y1j,"​ @azetzy9644 nah menurut kamu, RT/RW Lurah/Kades itu bukan instansi pemerintahan?",4,1 bulan yang lalu
@kenziiiiiiiiiiii,"​ @azetzy9644 yang di salahin udah pasti langsung si gemoy,ini pdhal negara banyak rentetan pejabat yang kesorot cuman wowo kan? aneh gasih harusnya orang orang pejabat setempat atau sekelas rt lah minimal yang harus di tanyain🤣",26,1 bulan yang lalu
@Devyara-x7o,​ @azetzy9644  maksudnya biar pemerintah daerahnya juga di sanksi. Kayak RT RW kades dll itu diganti,2,1 bulan yang lalu
@rdcnl3825,"yg bilang mbg alihkan ke pndidikan gratis, cokak lu. pndidikan uda gratis +dana bos yg salah pemerintah daerahnya sama sekolahnya dana bos di mana,",57,1 bulan yang lalu
@BengDanKel,"​tau ngga mbg itu salahsatu sumbernya dari dana bos, 😅 jadi ya begitulah  jadi ada yang hilang dan ada yang kebagian",7,1 bulan yang lalu
@saygani,Ya gimana ya orang uang yg dikasih ke orang tuanya malah gak dibeliin buku malah beli yg lain.,29,1 bulan yang lalu
@bob_marley-t2s,​ @saygani apa sdh bener,2,1 bulan yang lalu
@RosfaRose,​ @saygani coba up faktanya,1,1 bulan yang lalu
@KurtCobain-k1j,"​ @saygani  Kalo gatau gausah komen, bikin malu aja IQ 78",9,1 bulan yang lalu
@m.r8216,Gak bisa menghidupi kasih kepanti asuhan malah kenenek yg miskin juga anak ya stres,4,1 bulan yang lalu
@FURAFURAFAHAM69,INDONESIA EMAS,4,1 bulan yang lalu
@TheWahyuandika,Mana berani dan peduli dia soal beginian dia pro MBG bgt😊,3,1 bulan yang lalu
@wawanhermawan6494,Sekalian bang bahas Prabowo ngasi uang ke trum,3,1 bulan yang lalu
@DanendraHamizan-f4i,Tadi aku liat beritanya sampai mlongo ..bisa2 anak sekecil itu punya planing bundir ya Allah ngk bisa bayangin perasaanya yg tiap hari kelaparan orang tua ngk mndukung ..really sad,3,1 bulan yang lalu
@gudawchannel3086,"lebih baik mbg diganti dgn tunai kasih untuk biaya pendidikan,, daripada satu hari habis triliunan tapi cuma jadi T4i..!!! dan klo sistem MBG itu potensi tindak korupsinya sangat banyak dan tidak terdeteksi,, klo tunai itu lebih mudah terdeteksi dan bisa tepat dgn kebutuhan para siswanya.. bukan cuma sekedar jadi T4i..!!!",3,1 bulan yang lalu
@oviprudenta1567," @gudawchannel3086  pendidikan udah gratis sejak SBY. dikasih tunai jutru makin ilang duitnya ga dikasih ke anak tapi di pake orang tuanya sendiri. Keknya memang pendidikan ini lebih dimeratakan lagi, tapi gak banyak guru yang mau ngajar di pedalaman. Kekna ini bukan cm masalah sekolah tp internal keluarga dia yang ga bertanggung jawab.",2,1 bulan yang lalu
@gilangajie5983,​ @gudawchannel3086 di kasih tunai di beliin rokok ama ortu nya. Kaya yg gatau mental org miskin aja bro.,0,1 bulan yang lalu
@M.uwais132,"​ @gudawchannel3086 sll koar2 MBG jdi pendidikan gratis, hay, bntuan pemerintah itu udh buanyak, mulai KIP untuk anak sekolah, PKH, bansos, BRTI yg hrs disalahkan adalah pemerintah setempat,",0,1 bulan yang lalu
@ChallisoL_yaya,"Yg pertama itu tugas 1, kades 2, camat 3, walikota 4, gubernur  Jauh banget sampe ke dedi korbijer",25,1 bulan yang lalu
@fachrytv,"​ @ChallisoL_yaya  DEDDY PUNYA MEDIA YT BRO, SUPAYA GAMPANG DI KABARKAN KE ORANG BANYAK!",6,1 bulan yang lalu
@adibingaboben714, @ChallisoL_yaya  guru gmn? ga da diajuin bantuan PIP 😞,2,1 bulan yang lalu
@focusakhiratkita,Yang hrs bertanggung jawab di Dunia-Akhirat atas kematian Anak tsb di NTT adalah stakeholder mulai dari Tingkat : 1. RT 2. RW  3. Kepala Dusun/Adat 4. Kades 5. Camat/Lurah 6. Bupati/Wali Kota 7. Gubernur 8. Presiden  itulah Kepala Pemerintahan yg hrs bertanggung jawab di Dunia di ini dan di Akhirat kelak. Kalian Setuju ga ....?,5,1 bulan yang lalu (diedit)
@reinandaufar2644,Gak bakalan brani lahhhhh,2,1 bulan yang lalu
@MANSILFC,😂😂 dia pro pemerintahh broo percuma,2,1 bulan yang lalu
@a.kn.f, @MANSILFC  Pemerintahan ada namanya PEMDA CAMAT LURAH KADES RT RW kemana ?...,1,1 bulan yang lalu
@DaffaUlhaqAbang,"WAJIB DI UP DONG OM DED ,, TOLONG PISAN INI MAH OM DED DI UP ANAK YG MENINGGAL DINTT",2,1 bulan yang lalu
@hendrichairil667,TIDAKKKK PEEDDUUULLLLIII YAANGG PENNNTINGGG PROYEKKK MMMBBBGGGG....MBG MBG MBGG MBGGG,2,1 bulan yang lalu
@dyahyuwanti4555,"Prihatin banget, ada anak SD yg semalang itu😢😢😢",2,1 bulan yang lalu
@otonoke34,"Coba dm kamar jeri bang, biasanya yang bahas berita begitu bang jeri. Kayaknya bakal di up sama dia.",2,1 bulan yang lalu (diedit)
@HarrySaputra-k7y,Iya sangat miris.😢 Anak SD loh...😢😢,2,1 bulan yang lalu
@mr.noviyandrichan7487,"Iya, kok anak sd umur 9 tahun terpikir bunuh diri, sedih bener, kemana fungsi kepala lingkungan & kepala desa (lurah) tau mereka setelah case ini terjadi, kemana pejabat2 yg korup menatap kejadian ini, di bulan ini luar biasa sombongnya para pemangku desa yg ada di sekitar terutama pemimpin negara yg mau membangun Indonesia emas.. JIKA RASA KEADILAN BERPENDIDIKAN TDK SAMPAI KE DESA TEMPAT ANAK TERSBT... GIMANA ANAK2 YG LAINNYA 😢😢😢",2,1 bulan yang lalu
