Username,Isi komentar,Jumlah like komentar,Waktu komentar
@Darren84,"Tp bukannya Dalam dunia intelijen, ada aturan main: ""Kalau informasinya dikasih gratis ke publik, berarti itu sudah basi."" Yang dipublikasikan itu cuma info ""sampah"" tp tdk bermaksud menyepelekan kasus2nya. Justru dlm hal ini kita jadi disibukan berdebat. Sedangkan info yang paling penting yang untuk kedepannya masalah kita ga fokus tau2 ada yg lebih bombastis lagi, Dlm hal ini Mereka bukan lagi buka rahasia, mereka lagi buang sampah supaya kita nggak nyari harta karun yang sebenarnya... Simple'nya mereka yg berbuat,mereka sendiri dgn sengaja membukanya kePublik! Patut kita pikir dan pertanyakan...","5,4 rb",1 bulan yang lalu
@kevkusumah,Youtuber lain: Epstein Hirotada: SI JEPRI 😂😂😂,"4,2 rb",1 bulan yang lalu
@moonochrromeeee,"bayangin yg disebar ke publik aja sengeri dan semenjijikan ini, gimana yg masih di keep sama mereka.. takut bgt😭","1,2 rb",1 bulan yang lalu
@nrwinda.s,"Tenaaanggg gaiss , pengadilan akhirat tidak bisa dibeliiii , menyalaaa diakhiraatt!!!!!!!!!","2,9 rb",1 bulan yang lalu
@anisakapoor17,dari banyaknya org yg bahas. gw cuma nungguin bang hiro yg bahas serasa dengerin gosip😭,839,1 bulan yang lalu
@ailove7602,"Ada kata kata seperti ini : Jika suatu informasi dibuka ke publik secara gratis, maka informasi itu hanya sampah yg siap dibuang untuk tujuan tertentu.",521,1 bulan yang lalu
@BagusAndriansyahRamadan,"Anjim dibikinin, baru request semalam. 😭 Apa emng udh bnyk yg request ya? Terharu sekaliii 😭","2,3 rb",1 bulan yang lalu
@baacot.mp4,"Pernah tau kan kalo di film² Amerikeu sering ada bikin kloningan buat tokoh² penting, fungsinya buat dijadiin umpan ke publik.Nah itu yang kepikiran sama diri pribadi, ada kemungkinan dia masih hidup, karena Amerikeu kan emang negara munafuck wkwk",275,1 bulan yang lalu
@iqnifamily9912,King of syaiton..jauhkan anak turunan kami dari manusia2 jahat ya Allah🤲🏻,131,1 bulan yang lalu
@Sabda_Panditaratu,"Gimana ga makin cinta ama bang Dipan duta Holygrel, eps Eipstein dibikinin nya exclusive 40 menit.",557,1 bulan yang lalu (diedit)
@meylisasahan6048,"Babang Glowing pakai kacamata buat nutupin eyebag ya? Semangat, jaga kesehatan ya babang. Istirahat dulu gapapa.",323,1 bulan yang lalu
@oreocomint,"Gw sih mikirnya, kasus gila apa yg ditutupi pake Epstein file ini?  Karena bukti se gila ini, nyangkut banyak nama penting, dibeberin se transparan ini, janggal ga si? Pasti dibelakangnya ada sesuatu yg lebih parah. Terlepas file ini dibeberin krn undang undang baru, yg mewajibkan transparansi barbuk/file. Tetep aja ngerasanya aneh, pasti g cuma cuma file ini di keluarin",322,1 bulan yang lalu
@desinovitasari4192,Plotwist nya ternyata si epstein masih idup di balik layar duduk manis menikmati kekayaan nya smpe skrg dar der dor gaktuh,104,1 bulan yang lalu
@dhezhe,Banyak yg ngikutin bang Hiro dari jaman gadis sampe sekarang udah jd ibu-ibu. Semoga Bang Hiro juga dilancarkan jodohnya ☺️,488,1 bulan yang lalu
@mootiy,"zayn malik masuk file itu jg kasian bgt cuma karena ngetweet kalo dia pro palestine, pantesan karirnya disono kek dianuin bgt 😢",181,1 bulan yang lalu
@maratulmahmudah7137,"Yaa Allaah.. jauhkan kami dari orang-orang dzolim dan jahat seperti itu, aamiin yaa Allaah",227,1 bulan yang lalu
@Hanifa1710,"Banyak yg sudah bahas kasus ini tapi, tunggu babu tercinta yang bawain ❤🎉",519,1 bulan yang lalu
@bayupe,Si Jepri sama si Kunti gislend😂😂😂,52,1 bulan yang lalu
