User,Teks,Waktu,Sumber,Tahap1_CaseFolding,Tahap2_Filtered,Tahap3_FinalBersih
@fann-x6o,Upp,1 bulan yang lalu,YouTube (Epstein Part 1),upp,upp,upp
@SyurShort,"ngak usah banyak gaya, liat sekeliling rumah lu aja, pasti ada keluarga yg melarat, lah lu santunin ketimbang lu nunggu RT/RW apalagi camat bupati, meskipun ada dana dari pusat buat desa tapi 98% masuk ke perut keluarga besar RT RT",1 bulan yang lalu,YouTube (Epstein Part 1),"ngak usah banyak gaya, liat sekeliling rumah lu aja, pasti ada keluarga yg melarat, lah lu santunin ketimbang lu nunggu rt/rw apalagi camat bupati, meskipun ada dana dari pusat buat desa tapi 98% masuk ke perut keluarga besar rt rt",ngak usah banyak gaya liat sekeliling rumah lu aja pasti ada keluarga yg melarat lah lu santunin ketimbang lu nunggu rt rw apalagi camat bupati meskipun ada dana dari pusat buat desa tapi masuk ke perut keluarga besar rt rt,ngak usah gaya liat sekeliling rumah pasti keluarga melarat lah santunin ketimbang nunggu apalagi camat bupati meskipun dana pusat desa masuk perut keluarga besar
@MuhamadIrfan-r7p,bisa ga si orang orang hidup normal aja,1 bulan yang lalu,YouTube (Epstein Part 1),bisa ga si orang orang hidup normal aja,bisa ga si orang orang hidup normal aja,orang orang hidup normal
@MuhamadIrfan-r7p,bisa ga si orang orang hidup normal aja,1 bulan yang lalu,YouTube (Epstein Part 1),bisa ga si orang orang hidup normal aja,bisa ga si orang orang hidup normal aja,orang orang hidup normal
@storybundar1176,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@haya000147,"Itu sih tetangganya ikut andil dlm tanggung jawab, bgmn pun sampai bundir pasal buku tulis terlalu tragis 😢 perhatianlah dgn tetangga, minimal tny2lah, pura2 tny ada PR apa gitu, yg ptg tau gitu kalau ada tetanggamu yatim kah, miskin kah, disabilitas kah, yg prlu perhatianmu. Jgn terlalu cuek, sampai bundir krn buku tulis dan pensil utk sekolah sih sungguh keterlaluan jg cueknya tetangganya, gurunya 😢😢😢",1 bulan yang lalu,YouTube (Epstein Part 1),"itu sih tetangganya ikut andil dlm tanggung jawab, bgmn pun sampai bundir pasal buku tulis terlalu tragis 😢 perhatianlah dgn tetangga, minimal tny2lah, pura2 tny ada pr apa gitu, yg ptg tau gitu kalau ada tetanggamu yatim kah, miskin kah, disabilitas kah, yg prlu perhatianmu. jgn terlalu cuek, sampai bundir krn buku tulis dan pensil utk sekolah sih sungguh keterlaluan jg cueknya tetangganya, gurunya 😢😢😢",itu sih tetangganya ikut andil dlm tanggung jawab bgmn pun sampai bundir pasal buku tulis terlalu tragis perhatianlah dgn tetangga minimal tny lah pura tny ada pr apa gitu yg ptg tau gitu kalau ada tetanggamu yatim kah miskin kah disabilitas kah yg prlu perhatianmu jgn terlalu cuek sampai bundir krn buku tulis dan pensil utk sekolah sih sungguh keterlaluan jg cueknya tetangganya gurunya,tetangganya ikut andil dlm tanggung jawab bgmn pun bundir pasal buku tulis terlalu tragis perhatianlah dgn tetangga minimal tny lah pura tny gitu ptg tau gitu tetanggamu yatim kah miskin kah disabilitas kah prlu perhatianmu jgn terlalu cuek bundir krn buku tulis pensil utk sekolah sungguh keterlaluan cueknya tetangganya gurunya
@AriJohari-u7z,Setuju..  Di sisi lain si prabowo ngeluarin dana triliunan pake duit rakyat..  Ke program Donald trm.  Di sisi lain bnyak masyarakat yg di biarkan hidup miskin dan kelaparan,1 bulan yang lalu,YouTube (Epstein Part 1),setuju..  di sisi lain si prabowo ngeluarin dana triliunan pake duit rakyat..  ke program donald trm.  di sisi lain bnyak masyarakat yg di biarkan hidup miskin dan kelaparan,setuju di sisi lain si prabowo ngeluarin dana triliunan pake duit rakyat ke program donald trm di sisi lain bnyak masyarakat yg di biarkan hidup miskin dan kelaparan,setuju sisi lain prabowo ngeluarin dana triliunan pake duit rakyat program donald trm sisi lain bnyak masyarakat biarkan hidup miskin kelaparan
@FarisLutfi,Dulu bapak saya mati matian cari duit supaya saya bisa sekolah. Sekarang tinggal minta minta sama orang ya gitu,1 bulan yang lalu,YouTube (Epstein Part 1),dulu bapak saya mati matian cari duit supaya saya bisa sekolah. sekarang tinggal minta minta sama orang ya gitu,dulu bapak saya mati matian cari duit supaya saya bisa sekolah sekarang tinggal minta minta sama orang ya gitu,dulu bapak mati matian cari duit supaya sekolah sekarang tinggal minta minta orang gitu
@49u5K,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@piwchanlpiw,"sbnrnya sebelm kejadian begini pemerintah skrg udh adaa program yg gencar di bangun itu sekolah rakyat. beberapa sekolah rakyat di beberapa daerah udh digunakan dan ada proses belajar mengajar. sekolah rakyat buat anak yg putus sekolah, penghasilan ortu yg ga bisa untuk beli buku,seragam dll. kedepan sekolah rakyat bakal merata itu dan anak"" yg masuk sana bener"" diseleksi dan di cek ke rumah masing""",1 bulan yang lalu,YouTube (Epstein Part 1),"sbnrnya sebelm kejadian begini pemerintah skrg udh adaa program yg gencar di bangun itu sekolah rakyat. beberapa sekolah rakyat di beberapa daerah udh digunakan dan ada proses belajar mengajar. sekolah rakyat buat anak yg putus sekolah, penghasilan ortu yg ga bisa untuk beli buku,seragam dll. kedepan sekolah rakyat bakal merata itu dan anak"" yg masuk sana bener"" diseleksi dan di cek ke rumah masing""",sbnrnya sebelm kejadian begini pemerintah skrg udh adaa program yg gencar di bangun itu sekolah rakyat beberapa sekolah rakyat di beberapa daerah udh digunakan dan ada proses belajar mengajar sekolah rakyat buat anak yg putus sekolah penghasilan ortu yg ga bisa untuk beli buku seragam dll kedepan sekolah rakyat bakal merata itu dan anak yg masuk sana bener diseleksi dan di cek ke rumah masing,sbnrnya sebelm kejadian begini pemerintah skrg udh adaa program gencar bangun sekolah rakyat beberapa sekolah rakyat beberapa daerah udh digunakan proses belajar mengajar sekolah rakyat anak putus sekolah penghasilan ortu beli buku seragam dll kedepan sekolah rakyat bakal merata anak masuk sana bener diseleksi cek rumah masing
@kopipahit-i7n,"Loh kok pusing kasi tau deddy corbuszer,lu aja yg bantu,,ada pemerintah juga lapor kepemerintah",1 bulan yang lalu,YouTube (Epstein Part 1),"loh kok pusing kasi tau deddy corbuszer,lu aja yg bantu,,ada pemerintah juga lapor kepemerintah",loh kok pusing kasi tau deddy corbuszer lu aja yg bantu ada pemerintah juga lapor kepemerintah,loh pusing kasi tau deddy corbuszer bantu pemerintah lapor kepemerintah
@TechTrendindo,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@yuliyantik-r4p,"Jangan 2 s jeffry itu masih hidup blm mati ,,JD kejahatan nya bisa berjalan",1 bulan yang lalu,YouTube (Epstein Part 1),"jangan 2 s jeffry itu masih hidup blm mati ,,jd kejahatan nya bisa berjalan",jangan s jeffry itu masih hidup blm mati jd kejahatan nya bisa berjalan,jeffry masih hidup blm mati kejahatan berjalan
@RikaMiftah,up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@ragilprasetyo9841,Heran ya knp selalu menyalahkan pemerintah kl niat punya anak ya siap tanggung jawab g usah apa apa pemerintah,1 bulan yang lalu,YouTube (Epstein Part 1),heran ya knp selalu menyalahkan pemerintah kl niat punya anak ya siap tanggung jawab g usah apa apa pemerintah,heran ya knp selalu menyalahkan pemerintah kl niat punya anak ya siap tanggung jawab g usah apa apa pemerintah,heran knp selalu menyalahkan pemerintah niat punya anak siap tanggung jawab usah pemerintah
@prastonofficial8131,RT nya tu diusut,1 bulan yang lalu,YouTube (Epstein Part 1),rt nya tu diusut,rt nya tu diusut,diusut
@low2509,👍,1 bulan yang lalu,YouTube (Epstein Part 1),👍,,
@anatta856,Maybe yes maybe no 😅 that case sensitive dealing with the regime😅,1 bulan yang lalu,YouTube (Epstein Part 1),maybe yes maybe no 😅 that case sensitive dealing with the regime😅,maybe yes maybe no that case sensitive dealing with the regime,maybe yes maybe that case sensitive dealing with the regime
@Adhi_1689,Betul biar gak MBG mulu yg diurusin,1 bulan yang lalu,YouTube (Epstein Part 1),betul biar gak mbg mulu yg diurusin,betul biar gak mbg mulu yg diurusin,betul biar mbg mulu diurusin
@riynprmna_9966,kan udah ada sekolah Rakyat kak,1 bulan yang lalu,YouTube (Epstein Part 1),kan udah ada sekolah rakyat kak,kan udah ada sekolah rakyat kak,sekolah rakyat kak
@SugiartiAgung,percuma orangnya gk bisa hidup lg,1 bulan yang lalu,YouTube (Epstein Part 1),percuma orangnya gk bisa hidup lg,percuma orangnya gk bisa hidup lg,percuma orangnya hidup
@nabielmuhammad6750,"Sudah ditindak lanjuti sama pemda dan pemprovnya, cek berita terbarunya",1 bulan yang lalu,YouTube (Epstein Part 1),"sudah ditindak lanjuti sama pemda dan pemprovnya, cek berita terbarunya",sudah ditindak lanjuti sama pemda dan pemprovnya cek berita terbarunya,ditindak lanjuti pemda pemprovnya cek berita terbarunya
@bagus_serbaserbi9487,😱 Astaghfirullahal'adziim. Emangnya apa penyebab anak tsb meninggal ???,1 bulan yang lalu,YouTube (Epstein Part 1),😱 astaghfirullahal'adziim. emangnya apa penyebab anak tsb meninggal ???,astaghfirullahal adziim emangnya apa penyebab anak tsb meninggal,astaghfirullahal adziim emangnya penyebab anak tsb meninggal
@palel8817,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@AbangFighter,"Gak mungkin bodoh , dia bagian dari pemerintah",1 bulan yang lalu,YouTube (Epstein Part 1),"gak mungkin bodoh , dia bagian dari pemerintah",gak mungkin bodoh dia bagian dari pemerintah,mungkin bodoh bagian pemerintah
@MuhammadRumaidi-wm9tz,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@Indonesian_kids.23,up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@warnadarikha,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@jujunjuliana2340,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@udinlamidun9716,di marahin wowo ntar dia😂😂,1 bulan yang lalu,YouTube (Epstein Part 1),di marahin wowo ntar dia😂😂,di marahin wowo ntar dia,marahin wowo ntar
@1minutehaircut145,Jangan apa2 pemerintah.. mandiri..,1 bulan yang lalu,YouTube (Epstein Part 1),jangan apa2 pemerintah.. mandiri..,jangan apa pemerintah mandiri,pemerintah mandiri
@kalvinkrishna-bd5oi,"kalau apa apa minta nadahin tangan, gunanya orang tua ngelahirin anak buat apa? sampe urusan terkecil kayak pena juga harus pemerintah, sama dengan ngajarin masyarakat jadi mental pengemis. buat pendidikan aja ogah untuk berusaha. inget ""Allah tidak akan mengubah suatu kaum jika kaumnya tidak mau berubah"". jangan normalisasi mental pengemis mental minta minta berdalihkan pendidikan gratis!!! ORANG TUA BERKEWAJIBAN UNTUK MEMENUHI PENDIDIKAN ANAKNYA JUGA. sekolah zaman sekarang sudah tanpa SPP sudah sangat di ringankan. kalau anda bilang MBG MBG terus sampe kapan indonesia mau terpuruk dengan pemikiran dangkal anda",1 bulan yang lalu,YouTube (Epstein Part 1),"kalau apa apa minta nadahin tangan, gunanya orang tua ngelahirin anak buat apa? sampe urusan terkecil kayak pena juga harus pemerintah, sama dengan ngajarin masyarakat jadi mental pengemis. buat pendidikan aja ogah untuk berusaha. inget ""allah tidak akan mengubah suatu kaum jika kaumnya tidak mau berubah"". jangan normalisasi mental pengemis mental minta minta berdalihkan pendidikan gratis!!! orang tua berkewajiban untuk memenuhi pendidikan anaknya juga. sekolah zaman sekarang sudah tanpa spp sudah sangat di ringankan. kalau anda bilang mbg mbg terus sampe kapan indonesia mau terpuruk dengan pemikiran dangkal anda",kalau apa apa minta nadahin tangan gunanya orang tua ngelahirin anak buat apa sampe urusan terkecil kayak pena juga harus pemerintah sama dengan ngajarin masyarakat jadi mental pengemis buat pendidikan aja ogah untuk berusaha inget allah tidak akan mengubah suatu kaum jika kaumnya tidak mau berubah jangan normalisasi mental pengemis mental minta minta berdalihkan pendidikan gratis orang tua berkewajiban untuk memenuhi pendidikan anaknya juga sekolah zaman sekarang sudah tanpa spp sudah sangat di ringankan kalau anda bilang mbg mbg terus sampe kapan indonesia mau terpuruk dengan pemikiran dangkal anda,minta nadahin tangan gunanya orang tua ngelahirin anak sampe urusan terkecil kayak pena harus pemerintah ngajarin masyarakat mental pengemis pendidikan ogah berusaha inget allah mengubah suatu kaum jika kaumnya mau berubah normalisasi mental pengemis mental minta minta berdalihkan pendidikan gratis orang tua berkewajiban memenuhi pendidikan anaknya sekolah zaman sekarang tanpa spp ringankan anda bilang mbg mbg sampe kapan indonesia mau terpuruk pemikiran dangkal anda
@rifqiyoung1259,Lah pemerintah lagi😅,1 bulan yang lalu,YouTube (Epstein Part 1),lah pemerintah lagi😅,lah pemerintah lagi,lah pemerintah
@Byru_39,UP.!!!!!,1 bulan yang lalu,YouTube (Epstein Part 1),up.!!!!!,up,
@sansyaf,"Gak usahlah, udah jelas semuanya. Seluruh Indonesia udah tau beritanya. Dan  gak bakal Master Deddy nyinggung masalah itu, bakal melebar ke MBG,pemerintah tidak fokus dengan Pendidikan, dll. Cukup tau aja",1 bulan yang lalu,YouTube (Epstein Part 1),"gak usahlah, udah jelas semuanya. seluruh indonesia udah tau beritanya. dan  gak bakal master deddy nyinggung masalah itu, bakal melebar ke mbg,pemerintah tidak fokus dengan pendidikan, dll. cukup tau aja",gak usahlah udah jelas semuanya seluruh indonesia udah tau beritanya dan gak bakal master deddy nyinggung masalah itu bakal melebar ke mbg pemerintah tidak fokus dengan pendidikan dll cukup tau aja,usahlah jelas semuanya seluruh indonesia tau beritanya bakal master deddy nyinggung masalah bakal melebar mbg pemerintah fokus pendidikan dll cukup tau
@tatalasmana843,"Mana mau dia bang, dia kan tim pemerintahan",1 bulan yang lalu,YouTube (Epstein Part 1),"mana mau dia bang, dia kan tim pemerintahan",mana mau dia bang dia kan tim pemerintahan,mana mau bang tim pemerintahan
@rizqimochi3458,Gw gak bela pemerintahan yang kek tai ini tapi kasus NTT itu kelalaian semua orang terutama keluarga korban dan orang sekitar jadi gw harap buat yang belum nikah/sudah nikah perhatikan keluarga lu dan didik moral serta mental keluarga terus ajarkan pula agama apapun itu buat pondasi hidup,1 bulan yang lalu,YouTube (Epstein Part 1),gw gak bela pemerintahan yang kek tai ini tapi kasus ntt itu kelalaian semua orang terutama keluarga korban dan orang sekitar jadi gw harap buat yang belum nikah/sudah nikah perhatikan keluarga lu dan didik moral serta mental keluarga terus ajarkan pula agama apapun itu buat pondasi hidup,gw gak bela pemerintahan yang kek tai ini tapi kasus ntt itu kelalaian semua orang terutama keluarga korban dan orang sekitar jadi gw harap buat yang belum nikah sudah nikah perhatikan keluarga lu dan didik moral serta mental keluarga terus ajarkan pula agama apapun itu buat pondasi hidup,bela pemerintahan kek tai kasus ntt kelalaian semua orang terutama keluarga korban orang sekitar harap belum nikah nikah perhatikan keluarga didik moral serta mental keluarga ajarkan pula agama apapun pondasi hidup
@VlogJasmanprabu76,"Emng kadang2, ente bundir itu sbnrnya kslhn ank itu knp pola pikirnya sudah sejauh itu sampe bundir",1 bulan yang lalu,YouTube (Epstein Part 1),"emng kadang2, ente bundir itu sbnrnya kslhn ank itu knp pola pikirnya sudah sejauh itu sampe bundir",emng kadang ente bundir itu sbnrnya kslhn ank itu knp pola pikirnya sudah sejauh itu sampe bundir,emng kadang ente bundir sbnrnya kslhn ank knp pola pikirnya sejauh sampe bundir
@GuruKreatif91,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@ahmadrawinasution7986,Iya,1 bulan yang lalu,YouTube (Epstein Part 1),iya,iya,iya
@adegunawan1966,Recehan mana mau pemerintah urusin kaya ga tau aja negara konoha,1 bulan yang lalu,YouTube (Epstein Part 1),recehan mana mau pemerintah urusin kaya ga tau aja negara konoha,recehan mana mau pemerintah urusin kaya ga tau aja negara konoha,recehan mana mau pemerintah urusin kaya tau negara konoha
@rifkyekafebrianto2900,"Gabakal mau bro, kan uda jelas pendidikan itu sekunder penting MBG dulu nomer 1",1 bulan yang lalu,YouTube (Epstein Part 1),"gabakal mau bro, kan uda jelas pendidikan itu sekunder penting mbg dulu nomer 1",gabakal mau bro kan uda jelas pendidikan itu sekunder penting mbg dulu nomer,gabakal mau bro uda jelas pendidikan sekunder penting mbg dulu nomer
@nurcaya9609,Ternyata org kota paling gampang dibodohi.,1 bulan yang lalu,YouTube (Epstein Part 1),ternyata org kota paling gampang dibodohi.,ternyata org kota paling gampang dibodohi,ternyata org kota paling gampang dibodohi
@emiyulianti-p7x,Setujuhhhhhh,1 bulan yang lalu,YouTube (Epstein Part 1),setujuhhhhhh,setujuhhhhhh,setujuhhhhhh
@el_hasan99,"Kan menteri HAM dan gubernur NTT udah bersuara, tinggal tindakan nyatanya aja lagi.!",1 bulan yang lalu,YouTube (Epstein Part 1),"kan menteri ham dan gubernur ntt udah bersuara, tinggal tindakan nyatanya aja lagi.!",kan menteri ham dan gubernur ntt udah bersuara tinggal tindakan nyatanya aja lagi,menteri ham gubernur ntt bersuara tinggal tindakan nyatanya
@siddiqibra8132,Om ded tolong undang pak dharma pongrekun untuk membahas tentang di balik epstein.,1 bulan yang lalu,YouTube (Epstein Part 1),om ded tolong undang pak dharma pongrekun untuk membahas tentang di balik epstein.,om ded tolong undang pak dharma pongrekun untuk membahas tentang di balik epstein,ded tolong undang pak dharma pongrekun membahas tentang balik epstein
@fazlisarumpaet5620,Trueee..Speak Up tentang Anak Sd tersebut Apakah Hati nurani pejabat sekarang punya atau tidak???,1 bulan yang lalu,YouTube (Epstein Part 1),trueee..speak up tentang anak sd tersebut apakah hati nurani pejabat sekarang punya atau tidak???,trueee speak up tentang anak sd tersebut apakah hati nurani pejabat sekarang punya atau tidak,trueee speak tentang anak tersebut apakah hati nurani pejabat sekarang punya
@happykurniawan4961,"Ga mungkin... Yang salahkan dalam hal ini kan pemerintah, om ded perwira TNI yang mendukung pemerintah... Ntar malah Prabowo yang disalahin... 😂😂😂😂😂",1 bulan yang lalu,YouTube (Epstein Part 1),"ga mungkin... yang salahkan dalam hal ini kan pemerintah, om ded perwira tni yang mendukung pemerintah... ntar malah prabowo yang disalahin... 😂😂😂😂😂",ga mungkin yang salahkan dalam hal ini kan pemerintah om ded perwira tni yang mendukung pemerintah ntar malah prabowo yang disalahin,mungkin salahkan hal pemerintah ded perwira tni mendukung pemerintah ntar malah prabowo disalahin
@banggojel9822,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@dyarherdiawan4483,"mana mau dia, dedy kan bocahnya prabowo, buka aib bos nama nya",1 bulan yang lalu,YouTube (Epstein Part 1),"mana mau dia, dedy kan bocahnya prabowo, buka aib bos nama nya",mana mau dia dedy kan bocahnya prabowo buka aib bos nama nya,mana mau dedy bocahnya prabowo buka aib bos nama
@merdekaRi-q6l,"Itu kasus broo...tidak bisa untuk menyalahkan bahwa setiap kebijakan itu keliru ... Saya kasih contoh :ada  kasus ,anak di bawah umur  bunuh diri hanya gara2 HP pintarnya di sita oleh ibunya... Apakah pabrik HPnya harus di tutup...atau sejak merawat dari bayi sampai akhirnya anaknya bunuh diri ortu itu di anggap tindakannya salah semua...",1 bulan yang lalu,YouTube (Epstein Part 1),"itu kasus broo...tidak bisa untuk menyalahkan bahwa setiap kebijakan itu keliru ... saya kasih contoh :ada  kasus ,anak di bawah umur  bunuh diri hanya gara2 hp pintarnya di sita oleh ibunya... apakah pabrik hpnya harus di tutup...atau sejak merawat dari bayi sampai akhirnya anaknya bunuh diri ortu itu di anggap tindakannya salah semua...",itu kasus broo tidak bisa untuk menyalahkan bahwa setiap kebijakan itu keliru saya kasih contoh ada kasus anak di bawah umur bunuh diri hanya gara hp pintarnya di sita oleh ibunya apakah pabrik hpnya harus di tutup atau sejak merawat dari bayi sampai akhirnya anaknya bunuh diri ortu itu di anggap tindakannya salah semua,kasus broo menyalahkan bahwa setiap kebijakan keliru kasih contoh kasus anak bawah umur bunuh diri gara pintarnya sita oleh ibunya apakah pabrik hpnya harus tutup sejak merawat bayi akhirnya anaknya bunuh diri ortu anggap tindakannya salah semua
@Towbatya,STOP MBG. 1-1 nya cara. Untuk menghemat pengeluaran APBN. Alihkan ke bantuan per KK selama 1 tahun 12juta.  Untuk memperbaiki perekonomian Indonesia..,1 bulan yang lalu,YouTube (Epstein Part 1),stop mbg. 1-1 nya cara. untuk menghemat pengeluaran apbn. alihkan ke bantuan per kk selama 1 tahun 12juta.  untuk memperbaiki perekonomian indonesia..,stop mbg nya cara untuk menghemat pengeluaran apbn alihkan ke bantuan per kk selama tahun juta untuk memperbaiki perekonomian indonesia,stop mbg cara menghemat pengeluaran apbn alihkan bantuan per selama tahun juta memperbaiki perekonomian indonesia
@diki1720_,"Dan agar orang orang bisa terketuk hatinya kalo susah itu jangan punya anak, dan kalo bisa sebelum punya anak itu nabung dulu, biar kalo suatu saat ekonominya anjlok, hak hak anak masih bisa tercukupi",1 bulan yang lalu,YouTube (Epstein Part 1),"dan agar orang orang bisa terketuk hatinya kalo susah itu jangan punya anak, dan kalo bisa sebelum punya anak itu nabung dulu, biar kalo suatu saat ekonominya anjlok, hak hak anak masih bisa tercukupi",dan agar orang orang bisa terketuk hatinya kalo susah itu jangan punya anak dan kalo bisa sebelum punya anak itu nabung dulu biar kalo suatu saat ekonominya anjlok hak hak anak masih bisa tercukupi,agar orang orang terketuk hatinya susah punya anak sebelum punya anak nabung dulu biar suatu ekonominya anjlok hak hak anak masih tercukupi
@kustiangumelar6725,"Kalo yang saya tangkap dari kejadian tersebut, kurangnya komunikasi antara pihak guru sama orangtua deh... kalo yang jadi masalahnya cuman sekedar beli buku!!! Pihak guru juga masih mampu beliin asal ada omongan yang benar dari orang tua siswa tersebut.",1 bulan yang lalu,YouTube (Epstein Part 1),"kalo yang saya tangkap dari kejadian tersebut, kurangnya komunikasi antara pihak guru sama orangtua deh... kalo yang jadi masalahnya cuman sekedar beli buku!!! pihak guru juga masih mampu beliin asal ada omongan yang benar dari orang tua siswa tersebut.",kalo yang saya tangkap dari kejadian tersebut kurangnya komunikasi antara pihak guru sama orangtua deh kalo yang jadi masalahnya cuman sekedar beli buku pihak guru juga masih mampu beliin asal ada omongan yang benar dari orang tua siswa tersebut,tangkap kejadian tersebut kurangnya komunikasi antara pihak guru orangtua masalahnya cuman sekedar beli buku pihak guru masih mampu beliin asal omongan benar orang tua siswa tersebut
@abizarhasan8590,"Beliau adalah predator 😂😂😂😂,",1 bulan yang lalu,YouTube (Epstein Part 1),"beliau adalah predator 😂😂😂😂,",beliau adalah predator,beliau adalah predator
@anakdesa506,Dedi itu cuma cari uang. G ada niat nolong orang.,1 bulan yang lalu,YouTube (Epstein Part 1),dedi itu cuma cari uang. g ada niat nolong orang.,dedi itu cuma cari uang g ada niat nolong orang,dedi cuma cari uang niat nolong orang
@indahpedalaman,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@elisaandri9821,Ini podcast nya ttg file epstein tpi buzzer ttg MbG untuk di hilangkan dan menyalahkan presiden pada bacott.!! Menghalangi komenan ttg podcastnya saja !,1 bulan yang lalu (diedit),YouTube (Epstein Part 1),ini podcast nya ttg file epstein tpi buzzer ttg mbg untuk di hilangkan dan menyalahkan presiden pada bacott.!! menghalangi komenan ttg podcastnya saja !,ini podcast nya ttg file epstein tpi buzzer ttg mbg untuk di hilangkan dan menyalahkan presiden pada bacott menghalangi komenan ttg podcastnya saja,podcast ttg file epstein tpi buzzer ttg mbg hilangkan menyalahkan presiden bacott menghalangi komenan ttg podcastnya
@meisyamediani1118,Ini maksud email nya apa ? Tolong belum mengerti,1 bulan yang lalu,YouTube (Epstein Part 1),ini maksud email nya apa ? tolong belum mengerti,ini maksud email nya apa tolong belum mengerti,maksud email tolong belum mengerti
@rahmadila-k5p,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@MisbakhulIlmi-z1c,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@AR-be2tz,Kasian nya masih kecil udah bundir gimana ntar pas gede nya,1 bulan yang lalu,YouTube (Epstein Part 1),kasian nya masih kecil udah bundir gimana ntar pas gede nya,kasian nya masih kecil udah bundir gimana ntar pas gede nya,kasian masih kecil bundir gimana ntar pas gede
@wichamylnns,Intinya bubarkan mb......g,1 bulan yang lalu,YouTube (Epstein Part 1),intinya bubarkan mb......g,intinya bubarkan mb g,intinya bubarkan
@aldoaryaputra,Q,1 bulan yang lalu,YouTube (Epstein Part 1),q,q,
@arislee8288,Biasa,1 bulan yang lalu,YouTube (Epstein Part 1),biasa,biasa,biasa
@Jaclyn_Inuit,"😂 masalah sepele itu, di indonesia itu kemiskinan Mengakar Sebab Org tua  lebih mengutamakan Ritual ritual Adat. budaya ,agama ,Hajatan dgn biaya besar daripada berhemat untuk Mengamankan Keperluan Anaknya. makam keluarganya.",1 bulan yang lalu,YouTube (Epstein Part 1),"😂 masalah sepele itu, di indonesia itu kemiskinan mengakar sebab org tua  lebih mengutamakan ritual ritual adat. budaya ,agama ,hajatan dgn biaya besar daripada berhemat untuk mengamankan keperluan anaknya. makam keluarganya.",masalah sepele itu di indonesia itu kemiskinan mengakar sebab org tua lebih mengutamakan ritual ritual adat budaya agama hajatan dgn biaya besar daripada berhemat untuk mengamankan keperluan anaknya makam keluarganya,masalah sepele indonesia kemiskinan mengakar sebab org tua mengutamakan ritual ritual adat budaya agama hajatan dgn biaya besar daripada berhemat mengamankan keperluan anaknya makam keluarganya
@rahmatfauzi4232,Up,1 bulan yang lalu,YouTube (Epstein Part 1),up,up,
@Eddie-t3l,Gak bakal di up lah.. om ded ini spesialis penggiring opini tergantung konten yg lagi ngetrend..,1 bulan yang lalu,YouTube (Epstein Part 1),gak bakal di up lah.. om ded ini spesialis penggiring opini tergantung konten yg lagi ngetrend..,gak bakal di up lah om ded ini spesialis penggiring opini tergantung konten yg lagi ngetrend,bakal lah ded spesialis penggiring opini tergantung konten ngetrend
@yudhaxlab,"itu yang salah bukan dari pusat nasional, tapi pemerintah daerah yang gk amanah, adan tidak adil.. dana desa dan bansos cair terus dari dulu, hanya saja di daerah2 tidak tepat sasaran",1 bulan yang lalu,YouTube (Epstein Part 1),"itu yang salah bukan dari pusat nasional, tapi pemerintah daerah yang gk amanah, adan tidak adil.. dana desa dan bansos cair terus dari dulu, hanya saja di daerah2 tidak tepat sasaran",itu yang salah bukan dari pusat nasional tapi pemerintah daerah yang gk amanah adan tidak adil dana desa dan bansos cair terus dari dulu hanya saja di daerah tidak tepat sasaran,salah bukan pusat nasional pemerintah daerah amanah adan adil dana desa bansos cair dulu daerah tepat sasaran
@VeraAllen-h2d,Undang Melanie Subono yg concerned sama masalah itu.,1 bulan yang lalu,YouTube (Epstein Part 1),undang melanie subono yg concerned sama masalah itu.,undang melanie subono yg concerned sama masalah itu,undang melanie subono concerned masalah
@JayaMulya68,Pemerintah sdh berhati batu,1 bulan yang lalu,YouTube (Epstein Part 1),pemerintah sdh berhati batu,pemerintah sdh berhati batu,pemerintah sdh berhati batu
@SantiLuki-o9u,"Mana mau tuh chanel ngebahas bobrok nya pemerintah,  Menurut keyakinan saya ni orang di khususkan jadibuzer buat ngebersihin nama pemerintah.😂",1 bulan yang lalu (diedit),YouTube (Epstein Part 1),"mana mau tuh chanel ngebahas bobrok nya pemerintah,  menurut keyakinan saya ni orang di khususkan jadibuzer buat ngebersihin nama pemerintah.😂",mana mau tuh chanel ngebahas bobrok nya pemerintah menurut keyakinan saya ni orang di khususkan jadibuzer buat ngebersihin nama pemerintah,mana mau chanel ngebahas bobrok pemerintah menurut keyakinan orang khususkan jadibuzer ngebersihin nama pemerintah
