Username,Rating,Isi Ulasan,Waktu Ulasan
Miroy,5 bintang,"Memang benar Jogja itu istimewa, entah kotanya entah makanannya, tapi yang paling berkesan kenangannya. Kekasih saya berasal dari provinsi istimewa ini, orangnya benar istimewa, saya terkagum dengan semua yang ia miliki, paras indahnya, sifat yang membuat saya jatuh hati dengan kebaikan hati yang ia miliki, pertama kali main ke rumah sudah merasa nyaman dengan apa yang ia suguhkan di rumahnya. Aku cinta kamu sayangku❤️",sebulan lalu
Darsehsri,5 bintang,"Iconic, makin malam makin rame. Mau ambil foto atau video dari sisi manapun tetap menarik menurut saya.

Kali ini saya ambil dari lantai dua resto yang ada di depan tugu, ngga lupa buat berfoto didepannya, pakai jasa forografer 5ribu/foto, cakep.",3 bulan lalu
Anindya Ken Luckyta,5 bintang,"Meskipun aku orang Yogyakarta asli, tapi Tugu Yogya ini memiliki daya tarik tersendiri, syahdu, dan selalu jadi pengingat untuk tetap pulang.
Banyak kuliner di sekitar tugu yang layak disinggahi. Jangan lupa sempatkan foto selfie, minum wedang jahe atau sekadar singgah di angkringan. Saling bertukar cerita dan kegelisahan, atau juga berbagi canda tawa dengan orang-orang bermakna.",4 bulan lalu
E.S,5 bintang,"Solo touring dari Bandung - Jogja menempuh jarak 392Km  dengan menggunakan sepeda motor via jalur lintas selatan, berangkat pagi sampai sore.. Langsung coba makan sate yg ada di samping perempatan rasa nya enak harga murah seporsi 14rb sudah pakai lontong..",4 bulan lalu
Danu Putra,5 bintang,"Bangunan yang memiliki makna sejarah, berhubungan dengan keraton Yogyakarta,gunung Merapi dan Pantai Parangtritis, apabila ingin mengetahui lebih lanjut bisa berkunjung ke museum Sonobudoyo,ada diorama yang menggambarkan tugu Yogyakarta ini.",sebulan lalu
Topeng Kaca,5 bintang,"Iconnya kota Jogja. Banyak wisatawan yang antri foto disekitar tugu.

Banyak cafe dan kulineran juga diarea sekitar. Bisa menikmati sajian makanan sambil menikmati pemandangan tugu Jogja.

Diwaktu tertentu sering diadakan acara.  Kadang jalanan jadi makin macet.",sebulan lalu
Ichwan Ahmad Hadi,5 bintang,"Tugu Yogyakarta merupakan salah satu ikon utama kota dengan nilai sejarah yang kuat. Area sekitarnya tertata rapi dan menjadi titik orientasi penting di pusat kota. Desain tugu sederhana namun ikonik, mudah dikenali dan memiliki makna historis bagi Yogyakarta.
Tugu Jogja sering menjadi spot foto, terutama pada malam hari saat pencahayaan membuat suasana terlihat lebih menarik. Lokasinya berada di persimpangan jalan utama, sehingga pengunjung perlu memperhatikan lalu lintas saat berfoto. Area trotoar di sekitar cukup membantu pejalan kaki.
Secara keseluruhan, Tugu Yogyakarta layak dikunjungi sebagai landmark kota, baik untuk sekadar singgah, berjalan santai di sekitarnya, maupun menikmati suasana kota Yogyakarta.",2 bulan lalu
Sams Bahri,5 bintang,"Tugu paling ikonik di Indonesia, tugu kecil tapi banyak yg merindukannya, entah sebegitu hebatnya daya tariknya, mau berapakali pun ke jogya tetep selalu foto disini",2 bulan lalu
Tripnya Afi,5 bintang,Belum ke Jogja klo belum foto disini. Di malam hari banyak photographer klo mau foto-foto seru. Disekitarnya banyak toko oleh-oleh dan juga hotel,Diedit 2 bulan lalu
dhani wasistha y,5 bintang,"Tugu pal putih, tuku kebanggaan warga jogja. Dulu sebelum dipagar banyak yang nongkrong menduduki pagar, jadi tugu mudah kotor namun terkesan dekat dan milik rakyat. Sekarang tugu dipagari dan tidak bisa pengunjung untuk memegang langsung sehingga tugu terlihat lebih rapih dan selalu terjaga dari tangan"" Kurang bertanggung jawab",4 bulan lalu
Selvia Ardian,5 bintang,just simply. icon of jogja. deket situ banyak kuliner yg oke. kalo sunset cakep bgt dengan langit warna emas atau pink-nya. kalo riding wajib lewat sini sih. first time as warlok taun baruan disini oke juga ternyata,2 bulan lalu
We life well,5 bintang,"Viralll banget tempat ini apalagi kalo ada hari2 besar kaya tahun baru atau takbiran. Pasti ada yang namanya kirab. Heboh dan cocok banget buat yang mau rasain sensasi meriah tapi tetep rasa indonesia. Orang asli jogja ramah tamah, kalau baru tinggal disana pasti agak kaget.

Anw recommended banget harus ke tugu karna landmarknya jogja hehe",2 bulan lalu
"Lepet . 12 .,",5 bintang,"Soal  Tugu jg dibilang dech....
Hal lain, ada cafe menarik yg bisa ngambil panorama Tugu dg indah... (Kebon Ndalem)",sebulan lalu
Fayzal Yuzaffar,5 bintang,"Saat kami berkunjung ke Tugu Jogja, seharian hujan terus.... jadi kali ini kami tdk bisa menikmati suasana nya. Hanya bisa menikmati dari kejauhan sambil makan siang... Kami pasti akan kembali lagi ke Tugu Jogja nanti.",3 bulan lalu
PUTRI SUSI SUNDARI,5 bintang,"Selalu happy kalo diajak ke jogja sama mas pacarr!! Suasana jogja yang menyenangkan dan ramai pengunjung, seruuu bangeettt!",2 bulan lalu
Agnes Ayu,5 bintang,Seru banget ngelewatin tugu kalo di atas jam 11 malem.. pasti ga terlalu rame dan mampir bakmie di depan pasar deket jnm block,sebulan lalu
AHMAD AZIN AL AHMAD HASAN HASAN,5 bintang,"ALHAMDULILLAH BAGUS. tapi begitu minta ampun?????mau berfoto""/selfi.tidak bisa. Karena pagi sampai malam hari, banyak kendaraan yang berlalu lalang. Tugu berada pas di tengah-tengah jalan. Jadi kalau ingin berfoto. Modalnya
1- nekat
2-jangan sungkan/malau malu.
3-percaya diri
4-lihat kanan kiri depan belakang karena banyak kendaraan yang berlalu lalang
5-cari waktu sengang bila berfoto""/selfie "" , terutama pada malam hari di jam 02.00 sampai jam 04.00 pagi Pasti rada sepi.",5 bulan lalu
Rohim Winanta,5 bintang,Yu mari berkunjung ke Jogjakarta jangan lupa ke tugu Jogja ya tempat nya bagus buat swa foto bersih apa lagi di malam hari lebih ramai,sebulan lalu
Inayatul Maghfirah Agustania,5 bintang,Setiap sudut Jogja memang selalu aesthetic seperti tugu ini contohnya. Bagus banget....,2 bulan lalu
sAnDy,5 bintang,"Tugu Jogja mungkin Menjadi Tempat yang Paling saya Rekomendasi untuk Jogging Pagi maupun Jalan-jalan Pagi. Karena Di Pagi hari, tempat ini Begitu Keren. Terkadang masih Sepi sehingga Nyaman, tetapi Jika sudah Mulai Siang atau Sore tempat ini Biasanya Ramai pengunjung maupun Orang-orang yang Lewat. Walaupun Banyak Hambatan, tempat ini *Tugu Jogja* Masih menjadi Tempat Favorit bagi orang-orang yang Ingin menghabiskan waktu mereka.",4 bulan lalu
Didik Istio Hartono,5 bintang,"Salah satu ikon Jogja yang layak untuk dikunjungi
Kalo ke Jogja mesti sempat kan sedikit waktu untuk kesini, walaupun gak lama.
Tugu Jogja aku akan kembali",4 bulan lalu
Na,5 bintang,"Salah satu destinasi wajib kalo lagi liburan di Yogyakarta. Di sekelilingnya ada banyak cafe dan warkop, cocok untuk sekedar menikmati pemandangan hiruk pikuk kota.",4 bulan lalu
Adam Thariq,5 bintang,"pertama kali ajak dia ke jogja untuk liburan. di tengah keramaian tugu jogja, terdengar lirih suara dari cerita dan tawamu. terima kasih sayang ❤️",sebulan lalu
Ruti Arisma,5 bintang,Yeay keturutan jalan2 ke Tugu Jogja donk 😊 sekalian ke Kebon Ndalem bagus banget view dari lantai 2 ini 🥰 kapan2 kita main lagi ya,4 bulan lalu
