Username,Rating,Isi Ulasan,Waktu Ulasan
Muhammad Khairul Zed,5 bintang,Nasi gorengnya enak.. Harga sesuai suasana dan view,4 bulan lalu
neyara,5 bintang,Senang sekali rasanya memasuki tahun ke delapan di Jogja memiliki kesempatan untuk hari pagi menuju ke tugu Jogja. Mungkin nanti kalau sudah tidak di Jogja lagi akan merindukan suasana suasana kenangan istimewa penuh dengan budaya dan kesenian.,setahun lalu
Sumatranchamp,4 bintang,"Jogja akhir tahun pol banget, terlalu ramai",2 bulan lalu
Syahdan Ujung,5 bintang,"Jogja adalah salah satu wistlist ku dari sejak SMP, dan tidak sia sia dari Aceh ke Jogja dengan keindahan setiap sudutnya.",8 bulan lalu
Andry Cancereza,4 bintang,Setelah 32 tahun berlalu akhirnya bs mampir lagi di tahun 2025,2 bulan lalu
faridHRT,4 bintang,Wisata gratis. Lebih baik kesini saat malam hari. Ada Kebon Dalem Cafe ($$$) di barat laut dan Omman Kopi ($$) di barat daya. Lewat dua tempat tersebut bisa foto dengan tugu dari atas. Tempat parkir di sisi selatan tugu biar nyaman (tarif sesuai perda). Ada angkringan dan kopi jos sekitarnya.,3 tahun lalu
Siti Umi Rohmah,5 bintang,"Salah satu destinasi yang dikunjungi pas ke Jogja yaitu Tugu Jogja. Rame banget pas malem Minggu... Disepanjang jalan banyak tempat kulineran, Dari Malioboro jalan kaki lumayan pegel akhirnya baliknya naik becak motor. Tetap bakal kangen sama suasana di Jogja. See you next time 😉",8 bulan lalu
dwi rahmawati,5 bintang,"Jogja istimewa, klo gk foto di tugu tidak afdol",Diedit sebulan lalu
Ridwan Abii,5 bintang,"Selalu ramai..
Banyak spot foto yg bagus.",Diedit 2 bulan lalu
Alma Mini,5 bintang,"asik n rame pol meski ga hari libur... Hehehe jogja ngga pernah tidur...
Oya di sini ngemper di sebrang tugu jogja sambil makan angkringan kek sejenis nasi kucing hehe... …",setahun lalu
Erik Ladera,5 bintang,Yaa tempat sebagus itu emang cocok sih crowded banyak orang,4 bulan lalu
Memed Wahyudi,5 bintang,"Jogja adalah salah 1 alasan kenapa saya harus giat berusaha, agar bisa terus kesini. Ngagenin😍 …",8 bulan lalu
Fredy Mukti,5 bintang,"Tempat yang menjadi ICONIC dari Yogyakarta. Tugu yang membuat selalu kangen terhadap Yogyakarta yang Selalu Istimewa. Tugu Jogja adalah salah satu ikon paling terkenal di Yogyakarta dan menjadi destinasi wajib bagi wisatawan yang ingin merasakan keaslian kota ini. Berlokasi di jantung kota, Tugu Jogja tidak hanya memiliki nilai sejarah yang tinggi tetapi juga menjadi simbol semangat dan perjuangan warga Yogyakarta. Dibangun pada abad ke-18, tugu ini memiliki makna filosofi yang mendalam, mencerminkan hubungan antara raja, rakyat, dan Sang Pencipta.

Tugu ini menjadi spot favorit untuk berfoto, terutama di malam hari ketika lampu-lampu di sekitar tugu menyala dan menambah keindahannya. Suasana di sekitar tugu pun ramai dan hidup, dengan banyak pedagang kaki lima, kafe, dan tempat makan yang bisa dinikmati setelah berfoto. Namun, karena lokasi Tugu Jogja berada di persimpangan jalan utama, perlu ekstra hati-hati jika ingin berfoto di dekatnya.

Secara keseluruhan, Tugu Jogja adalah landmark yang memikat dengan perpaduan keindahan, sejarah, dan budaya. Tempat ini sangat direkomendasikan untuk dikunjungi, terutama bagi yang ingin merasakan energi khas Yogyakarta yang autentik.",Diedit setahun lalu
sayap alfatihah,5 bintang,Tempat yg harus dikunjungi saat ke jogja,2 bulan lalu
Maulidya Anggun,5 bintang,"Tugu legendaris di jogja, tugu ini merupakan tugu yg sudah direnovasi. Cantik dan terlihat elegan.
Disekitarnya terdapat angkringan dan tempat nongkrong lainnya.
Kalau pagi hari disarankan untuk nyobain kulineran di sekitar pasar Kranggan yang ada di Barat tugu Jogja.",2 tahun lalu
Gunardi Gugun,5 bintang,Tugu Yogya dimalam hari suasana ramai,sebulan lalu
Bapa Hendra,5 bintang,Salah satu destinasi wajib kalo lagi ke Jogja. Sempatkan selalu berfoto di Tugu Jogja dan sebisa mungkin cari posisi sepi ya biar estetik. Pak polisi yang jaga disini juga ramah ramah,2 tahun lalu
Feri AN,5 bintang,Visual keliling jogja dari sisi pagi hari saat bersepeda,7 bulan lalu
Reky Pramudia,5 bintang,"Baru pertama kali kesini selama beberapa kali berkunjung ke Yogya, poin yg perlu di highlight: …",2 tahun lalu
Aak Mamay,5 bintang,"Tugu Jogya , Sudut ikon kota jogya yang ramai di kunjungi untuk mengambil foto shot, ataupun bersantai di bunderannya. Salah satu destinasi wajib di kunjungi",9 bulan lalu
NovierAllyn,4 bintang,"Beberapa kali ikut walking tour rute Tugu, cukup seru, tugunya makin estetik tapi sudah berubah dari aslinya awal semula",sebulan lalu
Art Estetika,5 bintang,"Assalamualaikum warahmatullahi wabarokatuh
Selamat berjumpa kembali dengan Jack Petualang Jagat

Tugu Jogja sebuah bangunan bersejarah yang berada di
Tadi aku Gowes ke Yogyakarta dengan tujuan utama TUGU JOGJA
Jarak dari rumah ke Tugu Jogja sekitar 29 km dan dengan waktu tempuh sekitar 2 jam 45 menit.
Kalau dari Prambanan ke Tugu Jogja jaraknya sekitar 16 km.

Tugu Jogja dibangun pada tahun 1755 oleh Sri Sultan Hamengkubuwono I, pendiri Kesultanan Yogyakarta. Tugu ini memiliki nama Tugu Golong-Gilig, karena tiangnya berbentuk silinder (gilig) dan puncaknya berbentuk bulat (golong). Tugu ini dibangun sebagai simbol persatuan rakyat dan penguasa dalam melawan penjajahan Belanda.

Rabu, 4 Desember 24",Diedit setahun lalu
virdian zyach,5 bintang,Bisa ajak anak-anak & keluarga berfoto di Tugu Jogja. Keren !!!,2 bulan lalu
Endang Palupi,5 bintang,"****Tugu Yogyakarta adalah sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari Kota Yogyakarta, Daerah Istimewa Yogyakarta. Tugu yang terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini, mempunyai nilai simbolis yang merupakan garis yang bersifat magis yang menghubungkan Pantai Parangtritis dan Panggung Krapyak di Kabupaten Bantul, Keraton Yogyakarta di Kota Yogyakarta dan Gunung Merapi di Kabupaten Sleman.

**** 1 Januari 2026, kami merayakan pergantian Tahun Baru di sini, lautan manusia dari berbagai daerah dan mancanegarapun berkumpul penuh  perasaan suka ria, suara musik dan lantunan lagu terdengar di telinga. Dan acara puncak pas jam 12 mlm byk kembang api, suara terompet serta petasan dibunyikan menambah megahnya  acara. Walau byk ribuan manusia tapi suasana tetap kondusif. Sungguh bahagia hati kami saat itu, semoga di kesempatan mendatang bisa ke Jogja lagi...❤",Diedit sebulan lalu
Sri Kuntari,5 bintang,"Nyaman, bisa menikmati cemilan di keboen ndalem dengan view tugu jogja",5 bulan lalu
Ar Roihan Lawang,5 bintang,"Tempat bagus untuk foto-foto di jogja, untuk spot agak sepi diatas jam 21.00 atau pagi setelah matahari terbit",7 bulan lalu
Reza Maha,5 bintang,Memandangi Tugu Yogyakarta sambil minum kopi jos di Angkringan Bu Lina,2 bulan lalu
Satria Negara,5 bintang,"Luar biasa, sangat terkenal, banyak  orang yang memfoto, video, setiap hari selalu ramai, bahkan kafe di sekitarnya terutama dengan view langsung saat sore pasti penuh dan selalu penuh",3 bulan lalu
Chrysanth Flora,5 bintang,Tugu Jogja adalah salah satu ikon Jogja yang katanya wajib dikunjungi kalau anda sedang liburan di Jogja. Tugu ini berwarna putih dengan sentuhan ornamen berwarna emas yang terlihat agung dan elegan. …,setahun lalu
Ahmad KHdin,5 bintang,"Yah untuk di daerah Malioboro sih biasa aja tapi di sekitarnya kalo siang hari sangat luar biasa dari segi luar biasanya,. Ya walaupun Jogja itu kalo GK hujan ya macet sih ya tapi tetep oke lah buat perjalanan santai, gabut, kalo GK MACET.",4 bulan lalu
Arco Bj,5 bintang,Tugu yg selalu bikin kangen untuk datang kembali ke jogja..,Diedit 2 bulan lalu
Mujib Bud Da'wah,5 bintang,"Gak sempet foto, cuma lihat doang, fotonya ada di HP istri 😄 lokasi sangat ramai, disekitarnya juga banyak oleh2 dan kuliner. untuk yang kesini naik mobil bisa parkir di timur tugu, ada parkiran mobil yang sangat luas, per mobil 10rb.",4 bulan lalu
muhamad fedri,5 bintang,"Kota yg sesalu bikin candu, selalu ingin kembali ke kota ini
Bersih, tenang, nyaman dan aman untuk liburan",8 bulan lalu
Haidir Abdillah,5 bintang,"Tempat yang pasti dikunjungi jika sedang berada di jogja, saat malam hari suasananya dapat, banyak angkringan jadinya bisa lebih menikmati tempatnya",7 bulan lalu
Hanas Caturiansyah,5 bintang,"Baru pertama kali foto dengan latar belakang Tugu Jogjakarta.
Saya sering ke Jogja dan melewati Tugu Jogja, karena keluarga saya ada di Blunyah Rejo (Belakangnya YP. MUHI). Sebenarnya sudah lama pingin foto dengan latar belakang Tugu Jogja, dan sekarang lebih mudah karena ada tempat yang bisa mengarah ke Tugu Jogja.  Tugu Jogja sekarang dipagar dan terawat, sehingga kelihatan bersih apalagi ada sinar lama yang bikin Tugu Jogja keemasan.
Sayang sekali kalau wisatawan yang ke Jogja belum foto dengan latar belakang Tugu Jogja, karema Tugu Jogja penuh sejarah",8 bulan lalu
Holy Queen,5 bintang,"berisik kendaraan wlpn bukan rush hour, gw nongkrong di kebon ndalem. ga diburu buruin waktu nongkrong wlpn penuh dan rame",7 bulan lalu
herni setiowati,4 bintang,Tempat yang beesejarah klo blm potho disitu belum afdol sayabge tugu itu ditengah jalan jadi g bisa potho langsung didpn tugunya,sebulan lalu
Jonathan Amadeus,5 bintang,"Ga ke jogja kalo ga kesini, minimal harus foto di tugu sini, atau bikin konten dsni, karena ini icon nya Jogja.

Ku percaya selalu ada sesuatu di Jogja 💯🙌 ...",setahun lalu
Sri Rahardjo,5 bintang,"Alur masuk dan keluar penumpang sangat bagus.
Layanan dari sekuriti sangat bagus, bahkan saya dibantu mengangkat koper sampai mendekati rangkaian kereta api. …",4 bulan lalu
Bisma Anassuka,5 bintang,"Tugu Jogja merupakan tempat yang ikonik, terdapat penjelasan dan filosofi dibalik tempat tugu Jogja, Malioboro, Kraton, hingga Panggung Krapyak. Banyak tempat/trotoar yang ramah pejalan kaki. cocok untuk jogging di sekitar tugu.",setahun lalu
Ludwiyk Ruben,5 bintang,Tempatnya syahdu buat nongkrong malem hari...,2 bulan lalu
Achmad Saugi,4 bintang,"Rekomendasi tempat yang harus dihampiri, suasananya nice. Lebih yahud lagi bila melalui lantai 2 coffe shop. Tapi gitu, space lantai 2nya terbatas. Jadi untung- untungan bisa dapet spot yahud dengan view Tugu.",4 bulan lalu
junardi van jogja,5 bintang,Tugu Jogja merupakan spot wisata favorit wisatawan dari Jogja maupun dari luar Jogja karena merupakan ikon kota Jogja yang jaraknya Deket dengan Malioboro. Waktu yang asik untuk berkunjung adalah malam hari selepas siang. Suasananya asik …,Diedit setahun lalu
Ahmad Fahrizal Aziz,5 bintang,"Tugu Jogja adalah ikon penting kota ini, di sekitarnya banyak kafe modern dan angkringan. Suasana jalan cukup ramai. …",2 tahun lalu
Putranti Cahyaning Mallandany,5 bintang,"Kota kelahiranku 😍😍😍
Klo balik ksini tuw deket sm Tugu.. jalan kaki jg bs sebenernya cm klo maless yaa naek motor aja paling 2menit klo ga macet.. pdahal mahh yaa Tugu gt² aja cm karna icon Jogja yaa wajib poto² dsana..
Photographer nya sm poto andalan biasan poto² gt.. ada komunitas nya 1 poto goceng",Diedit setahun lalu
Ika Irawati,4 bintang,"tempat ikonik di kota jogja ini banyak cafe disekitarnya namun memang harga premium untuk sekedar jajan.
tapi disepanjang trotoar juga banyak pedagang jajanan ringan. …",setahun lalu
Bagus Priyonggo,5 bintang,Salah satu icon terkenal kota Jogja. Banyak yang foto di sini. Tapi harap hati-hati kalau menyeberang.,sebulan lalu
Musdakir 1212,5 bintang,"Tempat yg luar biasa, Jogja istimewa..",sebulan lalu
Agung HA,5 bintang,"Tugu jogja atau tugu pal putih bikinan belanda. Tugu yang asli namanya golong gilig, rusak parah akibat gempa bumi. Lalu belanda memugar ulang.
Sekarang tugu pal putih jadi lebih menarik karena tidak ada kabel listrik yang …",Diedit 5 tahun lalu
Galih Harin Prasetya,5 bintang,"Tugu Jogja adalah simbol kebanggaan dan landmark yang paling ikonik di kota Yogyakarta. Monumen yang mengesankan ini melambangkan semangat perjuangan dan kemerdekaan Indonesia. Dengan arsitektur yang megah dan kokoh, Tugu Jogja menjadi daya …",2 tahun lalu
Annisa Dhaniar,5 bintang,"iconic landmark jogja. sekarang ada tugu di seberangnya jadi bisa dapat posisi yang bagus untuk foto.
parkir kendaraan bisa di depan ruko yang tidak jauh dari tugu, hanya saja kalau malam ramai, jadi susah cari parkir.",2 tahun lalu
Okta Chandika Salsabila,4 bintang,"Spot ikonik di Yogyakarta. Paling ramai dikunjungi pas malam hari, banyak muda-mudi yang ngumpul sambil foto-foto atau sekedar nongkrong. Di sepanjang jalan banyak angkringan, warung, dan kafe.",9 bulan lalu
menik dinar,5 bintang,"Belum ke jogja kalau belum foto di Tugu Jogja hehe
Salah satu ikon dari kota yogyakarta yang selalu menjadi pusat keramaian untuk warga lokal jogja & wisatawan..
Ada beberapa cafe yang menghadap langsung ke tugu jogja, jadi bisa nongki sambil foto-foto view tugu jogja’nya..

Jogja gak ada habis-habisnya 🖤😁",2 tahun lalu
Prihadi Tutorial,5 bintang,"Kesini pas malam tahun baru, rame banget.....
Saran aja kalau mau taunbaruan di tugu datang jam 8.30 pas jalan mau ditutup trus keep posisi yang diinginkan👍😁 …",setahun lalu
Haqqi Aulia,5 bintang,Perjalanan bandung jogaja 400km,2 minggu lalu
2022 Muhammad Faqih Asyari,5 bintang,tempat yang sangat indah dan dapat menjadikan destinasi yang favorit untuk wisatawan ketika pergi ke Jogja itu outdoor sehingga harus siap-siap ketika terjadi hujan namun semuanya bisa terbayarkan dengan keindahan dan keramahan orang-orang yang ada di dalamnya,setahun lalu
Nchie Hanie,5 bintang,"Ikonnya Jogja, ga afdol kalo pas ke Jogja ga mampir sini, banyak cafe sekitaran Tugu yang bisa dinikmati, sambil melihat pemandangan Tugu",setahun lalu
Ricky Dharmawan,5 bintang,Belum kerasa Jogja'nya kalau belum ke Tugu Jogja dan Malioboro,5 bulan lalu
Diva Wahyu Ramadhan,5 bintang,"Salahsatu ikon Kota Jogja, Tugu Golong Gilig berada sisi utara dari Jalan Malioboro terpotong jalur kereta api. Disekitaran perempatan tugu kanan kiri banyak penjaja makanan mulai dari pedagang kaki lima sampai kafe kekinian. Tugu ini juga …",2 tahun lalu
iwan budihardja,5 bintang,Sangat menarik utk fto di sekeliling ny ada cafe2 utk santai bisa liat tugu jogya dr atas,sebulan lalu
Husnul Alfisyah Rina,5 bintang,"hallo jogja, aku kembali lagi. Dulu jadi tujuan sekarang jadi tempat singgah, tetapi rasa itu masih ada..  harapan menjadikan jogja salah satu tujuan untuk pulang",8 bulan lalu
Novera Riansyah,5 bintang,"Orang bilang belum ke Jogja kalau belum ke Tugu nya, tempat yg iconic, ramai pengunjung walau sekedar buat dokmentasi. Tempat bersejarah dan patut dilestarikan.",setahun lalu
Asmaul Khusna,5 bintang,"Pengunjung nya luar biasa banyak nya,sampai jln nya penuh....",4 bulan lalu
Adilia Herlambang,5 bintang,selalu ada cerita diJogja bila anda belum Foto2 disekitaran terasa belum afdol karena Tugu istimewa dan Jogja selalu ngangeni pokoke..,2 bulan lalu
beruang selalu,5 bintang,"Tugu Jogja yang ada ditengah kota jogjakarta yang memberikan titik garis lurus pantai parang teoritis, tugu jogja dan gunung merapi. Saat semua para wisatawan menikmati momen melihat tugu jogja ikon sejarah dan disebelahnya dekat dengan benteng hindia belanda yang telah dijadikan tempat sejarah",7 bulan lalu
Fariz,5 bintang,"Entah kenapa jogja jadi satu dari sekian banyak tempat yang nganggenin, kalo lagi bahas kota atau mau pergi liburan kemana, pasti yang ada dipikiran cuma jogja doang.. i don't know why, but it’s just that I miss the vibe. Even though it was …",8 bulan lalu
Sopian al rasyid,5 bintang,"Ini tugu yg katanya merupakan sumbu antara gunung, keraton dan laut.
Bisa nikmatin suasana tugu jogja ini di 2 cafe sih.
Cafe yang agak gedean dan mini cafe juga ada bisa pesen kopi dan cemilan sambil menikmati keindahan tugu jogja",4 bulan lalu
Khayun M,5 bintang,Tugu Yogjakarta merupakan ikon dari kota Yogjakarya. Merupakan tugu yang berada di tengah persimpangan jalan. Untuk menuju tugu ini dari stasiun Yogjakarta bisa berjalan ke arah Utara tinggal jalan lurus 500 meter dari Stasiun Tugu …,3 tahun lalu
noer kholish,5 bintang,"Ikonnya kota Jogja, selalu rame dikunjungi wisatawan, baik pagi, siang, sore maupun malam. Wisatawan kebanyakan mengabadikan foto di tempat ini, terdapat banyak hotel, cafe dan ada pasar tradisional di sekitar tempat ini",setahun lalu
Bramantya,5 bintang,Ikonik jogja selain Malioboro cocok buat santai dan berbincang bersama teman banyak cafe dan kuliner disekitar tugu harganya juga ramah dikantong,sebulan lalu
GROWTOPIA CHANNEL,5 bintang,Bagus bro pemandangannya karena saya pas malem malem ya jadinya ngopi di sekitar tugu dengan view tugu tersebut tapi harus diingat ini tempat yang nyueniii pol dan jual pemandangan jadi harga nya agak📈📈📈📈 oke👍 …,11 bulan lalu
Dodo Dripp,5 bintang,"Salah satu ikon Jogjakarta. Dulunya bernama Tugu Golong-Gilig. Tugu yang terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini dibangun oleh Hamengkubuwana I, pendiri kraton Yogyakarta. Monumen ini mempunyai nilai …",2 tahun lalu
Karmila,5 bintang,"Lokasi strategis, ke malioboro jalan kaki cuma 800 meter banyak pilihan penginapan, ada cafe & resto juga, ada gelato ice cream, banyak kuliner angkringan, deket tempat oleh2 bakpia kukus jogja, tempatnya bersih n selalu kangen akan Jogjakarta yang istimewa",3 tahun lalu
Moreno Rafi,5 bintang,"Iconic spot di Jogja yang wajib banget dikunjungi! Vibes-nya klasik tapi tetep aesthetic, apalagi kalau datang malam lightingnya cakep buat foto. Lokasinya strategis dan jadi salah satu landmark paling terkenal. Perfect buat quick stop foto-foto atau sekadar enjoy the view",11 bulan lalu
Ahmad Syafii,5 bintang,"Tugu Yogyakarta ( Jawa : ꦡꦸꦒꦸꦔꦪꦺꦴꦒꦾꦏꦂꦠ, translit. Tugu Ngayogyåkartå ) adalah sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari Kota Yogyakarta , Daerah Istimewa Yogyakarta . Tugu yang terletak di perempatan …",2 tahun lalu
dsurya,5 bintang,Best spot untuk bengong setelah jogging / lari pagi di seputar tengah kota yogya.,setahun lalu
irfan gtc,5 bintang,Ramai sekali di akhir pekan atau saat liburan..waktu terbaik pagi atau malam,9 bulan lalu
SRI HIDAYATIKNO,4 bintang,"Tugu yg harus kita datengin kalo kita dh sampe jogja, terutama sambil di cafe damping tugunya.",setahun lalu
Hilyatul Aulia,5 bintang,Dateng pas sunset pas lagi cantik-cantiknya😍 …,sebulan lalu
Samsu Din,4 bintang,"Tugu Yogyakarta atau yang lebih dikenal sebagai Tugu Malioboro ini mempunyai nama lain Tugu Golong Gilig atau Tugu Pal Putih merupakan penanda batas utara kota tua Yogya. Tugu Yogya bukanlah tugu sembarang, tapi tugu Yogya ini adalah tugu …",7 tahun lalu
Fensi,4 bintang,"Tugu jogja jadi iconnya kota satu ini.
Selalu jadi tempat untuk wisatawan berfoto.
Sekarang, diberi pagar. …",3 tahun lalu
Nada Safitri,5 bintang,"Tugu Jogja merupakan landmark kota Yogyakarta yang sangat terkenal, tugu Jogja memiliki nama asli Tugu Pal Putih berada di sebelah Utara jalan Mangkubumi. Tugu ini dibangun oleh pemerintah Belanda sebagai ganti tugu lama (Tugu Golong Gilig) …",Diedit 2 tahun lalu
bagus Mahardika,5 bintang,"Cafe dekat tugu,omah tugu bisa bikin event/acara ultah di sini..",3 bulan lalu
nane ayu,5 bintang,Pengalaman pertama bersama suami dan anak ke jogja utk liburan bareng,3 bulan lalu
Irfa Nurul Arofah,5 bintang,"Lingkungan bersih, nyaman dan membuatku ingin kembali lagiii",2 bulan lalu
kodok 23,5 bintang,"Tempat ini lambang dari simbol KOTA JOGJAKARTA.....  selau ramai....... Sebelum pandemi banyak yang berfoto dsini baik dari warga jogja sendiri dan dari luar kota jogja.....
Tugu yang terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini, mempunyai nilai simbolis yang merupakan garis yang bersifat magis yang menghubungkan Pantai Parangtritis, Panggung Krapyak, Keraton Yogyakarta dan Gunung Merapi......",Diedit 4 tahun lalu
Abay,5 bintang,"Tugu yogyakarta adalah sebuah tugu atau monumen yang sering dipakai sebagai simbol atau lambang dari Kota Yogyakarta. Tugu yang terletak di perempatan Jalan Jenderal Sudirman dan Jalan Margo Utomo ini, mempunyai nilai simbolis yang merupakan garis yang bersifat magis yang menghubungkan Pantai Parangtritis dan Panggung Krapyak di Kabupaten Bantul, Keraton Yogyakarta di Kota Yogyakarta dan Gunung Merapi di Kabupaten Sleman.

Tugu ini sekarang merupakan salah satu objek pariwisata Yogyakarta, dan sering dikenal dengan istilah “Tugu Pal Putih” (pal juga berarti tugu), karena warna cat yang digunakan sejak dulu adalah warna putih. Tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya. Jika dilihat dari Keraton Yogyakarta ke arah utara, maka akan terlihat bahwa Jalan Malioboro, Jalan Margo Utomo, Tugu Yogyakarta, dan Jalan A.M. Sangadji membentuk garis lurus menuju puncak Gunung Merapi yang dikenal sebagai Garis Imajiner Yogyakarta.

Monumen ini dibangun oleh Sri Sultan Hamengkubuwono I pada tahun 1755. Dikenal sebagai Tugu Golong-Gilig, dan dibangun dalam semangat persatuan rakyat. Di puncak tugu berbentuk bulat (golong) dan tiangnya berbentuk silindris (gilig), demikianlah namanya. Ketinggian monumen tersebut adalah 25 meter. Dibangun di Garis Imajiner Yogyakarta yang menghubungkan laut selatan, Keraton Ngayogyakarta Hadiningrat, dan Gunung Merapi. Pada saat bertapa, konon Sultan Yogyakarta saat itu menggunakan tugu ini sebagai patokan untuk menghadap ke puncak Gunung Merapi.[1]

Monumen ini runtuh saat gempa bumi besar yang terjadi pada 10 Juni 1867. Pada tahun 1889, pemerintah kolonial Hindia Belanda merenovasi monumen dengan bentuk persegi. Bagian atas monumen dibangun dengan bentuk kerucut, bukan berbentuk bulat seperti sebelumnya, dengan bola kecil di ujungnya. Ketinggian monumennya juga berkurang dari 25 meter menjadi 15 meter. Sejak itu, monumen ini juga dikenal pada saat itu sebagai De Witte Paal (Monumen Putih).
Sumber Wikipedia",Diedit 2 tahun lalu
Marlyaaputria,5 bintang,"Weekend jalan jalan ke tugu, untuk menikmati suasana malam di Jogja❤️",Diedit 4 bulan lalu
Septiyani Kamalia,5 bintang,"Wajib dilewati, foto, lari di sini kalo lagi di jogja. Banyak fg fotoyu kalo di sini.",5 bulan lalu
pak sur,5 bintang,Belum ke jogja klo belum mampir tugu golong giling,3 bulan lalu
Risyad akbar abdillah,5 bintang,Kenangan Waktu Pendaftaran PPDB Kuliah Di Jogja 6 Mei 2016 Emang Jogja Terbuat Dari Rindu Dimanapun akan Pulang Kembali Ke Jogja,10 bulan lalu
Wahyu Setyo,5 bintang,"tugu jogja yang berarti iKON jogja, sangat wajib dikunjungi selagi liburan ke Jogja selain malioboro, sangat indah pada malam hari, tersedia juga becak untuk perjalanan maupun wisata",2 tahun lalu
dinee maems,5 bintang,"Dari stasiun belok kiri lurus aja trs belok kiri lewqt rel kereta api lurus aja sampai ¼ kira² 1KM
Bisa sambil ngopi² cantik di coffee shop di pojokan",setahun lalu
NVN Adventure,4 bintang,"Menurut pendapat saya, tempatnya bersih, nyaman, dan cocok untuk foto-foto bersama teman atau keluarga apalagi ada diorama beserta penjelasannya. Tapi kalau kesana jangan pas siang karena panas dan terik cocoknya pagi atau sore sampai …",2 tahun lalu
jaya supriadi,5 bintang,Pengalaman yang berkesan buat saya dan adik adik saya beserta suami mereka. Saya bilang bahwa setiap kali kita foto di tugu Yogyakarta akan terus datang ke Jogja. Jogja adalah kota yang membuat kangen bahkan besok besok pasti akan punya rumah di Yogyakarta. Sampai bertemu lagi di Yogyakarta yah adik adikku yang hebat.,3 tahun lalu
Sismayadi,5 bintang,"Cocok buat ngelamun sambil ngopi""  santai.
Ke Jogja tapi kalo belum ketugu gak afdol rasanya.....💯💅🏻 …",6 bulan lalu
Erif Triandari,5 bintang,"salah satu destinasi wisata yang ramai dikunjungi saat di jogja, ramenya pas.malam hari, soalnya pemandangannya bagus",setahun lalu
Toni Kusbawanto,5 bintang,Jogja Memang Bikin Rindu 😍🥰 …,sebulan lalu
Rozinaldo,5 bintang,Icon wajib kl di jogja. Biasa aja tapi gk afdol kl ke jogja belum kesini. Dulu liat di tv waktu merapi meletus penuh dengna abu. Sekrang liat langsung dengan kemewahan yg sederhana tapi terkesan mewah..,8 bulan lalu
Sofyan 123,4 bintang,"Tugu Jogja, iya memang didirikan dgn tujuan mengenang spot para pejuang kota Jogya, untuk mempertahankan Nkri terutama kota Jogja, dari penjajah bngsa Belanda. Walaupun sampai saat ini tetap bertahan natural apa adanya. Padahal kalau di perluas radius bundarannya akan menambah rating nilai sejarahnya.",2 tahun lalu
Anggie Primary,5 bintang,"Syukur alhamdulillah, msh diberi kesempatan menikmati suasana di tugu jogja pagi hari, suasana syahdu rodok mendung tambah manteb.
Banyak aktifitas warga jogja ataupun wisatawan, ada yg joging, foto dan take video. Jogja selalu membawa nyaman dihati kita semua, salim sungkem salam sehat kagem sedanten",3 tahun lalu
maera ค่ะ,5 bintang,"salah satu tempat nyantai di jogja yang wajib banget didatengin karena ini ikon jogja banget, mau sambil liat sunset sabi cakep mau nongki malem suka saik, banyak spot foto juga buat yang suka dengan hal hal berbau photography. banyak cafe yang bisa jadi pilihan buat ngechill sambil menikmati view tugu",3 tahun lalu
Ummu RaNaDza,5 bintang,Syahdunya jogja pagi² dibarengi hujan kemudian gerimis ditambah makan singkong goreng plus teh telang Masya Allah,sebulan lalu
Abdon Djuliawan,5 bintang,"Yogyakarta, Minggu (5/6/2022)
Kemeriahan suasana malam di seputar Tugu Jogja oleh turis-turis domestik dan beberapa turis mancanegara yang berseliweran lalu-lalang memenuhi trotoar jalan. Ada yang menikmati kuliner tenda, berselancar dengan otopet listrik atau sekedar duduk-duduk bersama pasangan atau keluarga dipinggiran trotoar menyaksikan hiruk-pikuk lalulintas sambil mendengarkan pemusik/pengamen jalanan setelah capek keliling keluar-masuk toko-toko, minum jamu dan beli batik pesanan anak adik dan sepupu di toko Hamzah Batik. Wah pokoknya meski capek tapi menyenangkan bagi kami serombongan. Bravo kota Jogja yang selalu ngangenin 👍😍🇮🇩",3 tahun lalu
tutik musiamah,5 bintang,"Rameeeeee
Serunya ada live music yg bikin betah duduk lama2",2 minggu lalu
Lylie Yustia,5 bintang,"Yang berharga itu kenangannya. Jogja memang istimewa.
Suasana ramai tapi santai. Tempat orang bisa menikmati malam sambil makan di angkringan.",setahun lalu
Bagus Pambudi,5 bintang,Tugu Jogja merupakan tempat atau akses saya sehari hari dan saya sangat senang karena sering melihat icon Jogja,3 minggu lalu
Tenthree N Subowo,5 bintang,mandatory spot poto kalau ke jogja 😄 …,sebulan lalu
Mersalina Biel,5 bintang,"Otentik, ramai, lebih seru kalau malam",2 bulan lalu
Eka Dian,5 bintang,Ramai tp tetap nyaman..orangnya ramah2,2 bulan lalu
Rinal Irwansyah,5 bintang,"Saya suka kain batik dari jogja, karena sebagian besar wong kejawen🙏🙏",2 minggu lalu
