User,Teks,Waktu,Sumber,Teks_Bersih
@ummahdesain02,"betul bang, kita akan mendapatkan ilmu.",1 bulan yang lalu,YouTube (Podcast Deddy),betul bang mendapatkan ilmu
@SitiRahayu-y4x,"tadi lewat ditiktok, trus mampir kesini, setuju si sama pernyataannya karena mereka itu berfikirnya maju bangett kita juga harus belajar memikirkan hal kedepan yang lebih jauh lagi",1 bulan yang lalu,YouTube (Podcast Deddy),tadi lewat ditiktok trus mampir kesini setuju pernyataannya berfikirnya maju bangett harus belajar memikirkan hal kedepan jauh
@bennyirawan5086,Benar!! Benar!,1 bulan yang lalu,YouTube (Podcast Deddy),benar benar
@infofikrihaical,"bener juga si, gua suka mikir dia kan orang penting terus di file nya banyak orang penting juga kenapa bisa dibongkar.   berarti udah basi hmmm",1 bulan yang lalu,YouTube (Podcast Deddy),bener gua suka mikir kan orang penting file orang penting kenapa dibongkar berarti basi hmmm
@kangsenobasdev9218,"Ya betul,mereka pasti sudah menyusun rencana yang lebih matang,sistematis dan terorganisir setelah rencana sebelumnya terbongkar...ngeriii😢",1 bulan yang lalu,YouTube (Podcast Deddy),betul pasti menyusun rencana matang sistematis terorganisir setelah rencana sebelumnya terbongkar ngeriii
@NettyHerawaty-k9h,setuju,1 bulan yang lalu,YouTube (Podcast Deddy),setuju
@wartinisbg6292,Analisa yang tepat!,1 bulan yang lalu,YouTube (Podcast Deddy),analisa tepat
@lindamel5075,File ini dibuka krn trump ingin mengakhiri kekuasaan elit global biar orang orang pada tahu betapa seramnyaa dunia saat ini...trrmasuk bagian kemenlu yg dilakban itu jg krn dia tahuu ttg kelakuan elite global dlm perdagangan manusia,1 bulan yang lalu,YouTube (Podcast Deddy),file dibuka krn trump ingin mengakhiri kekuasaan elit global biar orang orang tahu betapa seramnyaa dunia trrmasuk bagian kemenlu dilakban krn tahuu ttg kelakuan elite global dlm perdagangan manusia
@lindamel5075,File ini dibuka krn trump ingin mengakhiri kekuasaan elit global biar orang orang pada tahu betapa seramnyaa dunia saat ini...trrmasuk bagian kemenlu yg dilakban itu jg krn dia tahuu ttg kelakuan elite global dlm perdagangan manusia,1 bulan yang lalu,YouTube (Podcast Deddy),file dibuka krn trump ingin mengakhiri kekuasaan elit global biar orang orang tahu betapa seramnyaa dunia trrmasuk bagian kemenlu dilakban krn tahuu ttg kelakuan elite global dlm perdagangan manusia
@khan_23.official,Berita² sekarang pun kayak banyak di bungkam oleh oknum²🤣🤣🤣,1 bulan yang lalu,YouTube (Podcast Deddy),berita sekarang pun kayak bungkam oleh oknum
@ackerman-h8s,Masuk akal kak,1 bulan yang lalu,YouTube (Podcast Deddy),masuk akal kak
@wiryosableng1060,Trus masalah vaksin yg di buat  yg di suntikan ke manusia bagaimana. Ternyata itu virusnya... Copid. Nanty ke dpnnya bagaiaman,1 bulan yang lalu,YouTube (Podcast Deddy),trus masalah vaksin suntikan manusia bagaimana ternyata virusnya copid nanty dpnnya bagaiaman
@kartonodinatadinata3506,Coba di bahas pejabat Indonesia yg terlibat 😂😂😂,1 bulan yang lalu,YouTube (Podcast Deddy),coba bahas pejabat indonesia terlibat
@Havva-r3y,"Files yg di sebar aja cm sampah bagi mereka, ada yg lebih besar dr itu sebenernya",1 bulan yang lalu,YouTube (Podcast Deddy),files sebar sampah besar sebenernya
@Arisafitri-f4g,Miris dari bayi baru lahir lngsung diajari ngedot pake DOT dg pentil sebesar itu ..udah GK masuk akah sampe GK muat dimulut bayi _ ternyata ... nauzubillah himindzalik kejiii,1 bulan yang lalu,YouTube (Podcast Deddy),miris bayi baru lahir lngsung diajari ngedot pake dot pentil sebesar masuk akah sampe muat dimulut bayi ternyata nauzubillah himindzalik kejiii
@gurline25,"Kayaknya sekarang jangan terlalu percaya pemerintah gak sih ?kalau ada suntik anu suntik Ono gak usah ikut,,",1 bulan yang lalu,YouTube (Podcast Deddy),kayaknya sekarang terlalu percaya pemerintah suntik anu suntik ono usah ikut
@anitrisunarti8003,"Justru malah jd mikir, yg di rilis semengerikan ini, bagaimanayg msh di keep yak, berarti lebih mengerikan lagi ya kan",1 bulan yang lalu,YouTube (Podcast Deddy),justru malah mikir rilis semengerikan bagaimanayg msh keep yak berarti mengerikan kan
@melatiangsaputri6730,Kalau dipikirin terus lalu diikutin bisa gila jd mendingan udh lah jalanin hidup yang di depan yang udh pasti,1 bulan yang lalu,YouTube (Podcast Deddy),dipikirin lalu diikutin gila mendingan udh lah jalanin hidup depan udh pasti
@sundarisundari7641,"Iya sama aku mkirny gni jga,ini psti propaganda trump,bisa jadi epstein di fitnah,dia kn sdh d bun2 gbisa mmbela diri lgi,dunia dbuat heb9h dgn crita palsu atau crita yg d heboh2 kan utk mngalihkan,krn sdng ad yg trump krjakan dibalik ini",1 bulan yang lalu,YouTube (Podcast Deddy),iya mkirny gni jga psti propaganda trump epstein fitnah sdh bun gbisa mmbela diri lgi dunia dbuat heb dgn crita palsu crita heboh kan utk mngalihkan krn sdng trump krjakan dibalik
@FatmalaSaputri,"stuju sih,pasti ada kasus yg parah,untuk menutupi kasus nya mereka buka lah kasus ini di media",1 bulan yang lalu,YouTube (Podcast Deddy),stuju pasti kasus parah menutupi kasus buka lah kasus media
@verajanuari03,Agendanya mungkin sudah berjalan boss.,1 bulan yang lalu,YouTube (Podcast Deddy),agendanya mungkin berjalan boss
@glole57,dan bocoran yg lu baca itu buatan mereka² yg takut terkuak takut dibahas,1 bulan yang lalu,YouTube (Podcast Deddy),bocoran baca buatan takut terkuak takut dibahas
@nono-y5f-p9x,ngeri,1 bulan yang lalu,YouTube (Podcast Deddy),ngeri
